clics_db_id,start_date,end_date,dependent_id
1,2020-02-02,NULL,8585
2,2019-03-01,2019-03-31,8586
34,2019-08-13,2020-08-12,8949
35,2019-08-13,2020-08-12,8950
36,2019-08-13,2020-08-12,8951
48,2020-01-01,2020-01-01,3312
49,2020-01-01,2020-12-31,5627
50,2020-03-28,NULL,12629
51,2020-03-28,NULL,12630
52,2020-03-01,2021-02-28,12794
53,2020-03-01,2021-02-28,12795
59,2020-01-01,NULL,984
60,2020-01-01,NULL,983
61,2020-01-01,NULL,982
62,2020-01-01,NULL,981
63,2019-08-16,NULL,1174
66,2020-05-08,NULL,12119
67,2020-05-08,NULL,12118
68,2020-05-08,NULL,12117
70,2019-08-01,NULL,3152
71,2019-08-01,NULL,3151
72,2019-03-01,NULL,12798
73,2019-03-01,NULL,12797
74,2019-03-01,NULL,12796
75,2020-06-30,NULL,9842
76,2020-06-30,NULL,9846
77,2020-06-26,NULL,9852
78,2020-06-19,NULL,9861
79,2020-06-30,NULL,9878
80,2020-06-30,NULL,9898
81,2020-06-30,NULL,9938
82,2020-06-30,NULL,9981
83,2020-02-13,NULL,10025
84,2020-02-05,NULL,10026
85,2020-06-30,NULL,10051
86,2020-06-30,NULL,10082
87,2020-06-30,NULL,10108
88,2020-06-30,NULL,10115
89,2020-06-19,NULL,10142
90,2020-06-30,NULL,10223
91,2020-06-30,NULL,10272
92,2020-06-30,NULL,10297
93,2020-06-30,NULL,10302
94,2020-06-26,NULL,10309
95,2020-06-30,NULL,10400
96,2020-06-30,NULL,10432
97,2020-06-30,NULL,10443
98,2020-06-26,NULL,10486
99,2020-02-29,NULL,10503
100,2020-06-19,NULL,10510
101,2020-06-26,NULL,10525
102,2020-06-30,NULL,10570
103,2020-06-30,NULL,10580
104,2020-06-30,NULL,10622
105,2020-06-26,NULL,10636
106,2020-06-30,NULL,10655
107,2020-03-14,NULL,10658
108,2020-02-15,NULL,10688
109,2020-06-30,NULL,10696
110,2020-06-19,NULL,10742
111,2020-06-19,NULL,10784
112,2020-06-30,NULL,10797
113,2020-06-30,NULL,10801
114,2020-06-19,NULL,10808
115,2020-06-26,NULL,10816
116,2020-06-26,NULL,10830
117,2020-01-18,NULL,10832
118,2020-06-19,NULL,10850
119,2020-06-30,NULL,10855
120,2020-06-30,NULL,10870
121,2020-06-30,NULL,10880
122,2020-06-30,NULL,10897
123,2020-01-10,NULL,10903
124,2020-02-13,NULL,10924
125,2020-06-30,NULL,10925
126,2020-06-30,NULL,10930
127,2020-06-30,NULL,10933
128,2020-06-30,NULL,10961
129,2020-02-11,NULL,10965
130,2020-06-26,NULL,10973
131,2020-06-30,NULL,10999
132,2020-06-30,NULL,11000
133,2020-02-08,NULL,11002
134,2020-06-26,NULL,11013
135,2020-02-01,NULL,11047
136,2020-06-26,NULL,11078
140,2020-06-30,NULL,10778
141,2020-06-26,NULL,10877
142,2020-06-26,NULL,11101
143,2020-06-30,NULL,9845
144,2020-06-30,NULL,9844
145,2020-06-30,NULL,9843
146,2020-06-30,NULL,9848
147,2020-06-30,NULL,9847
148,2020-06-26,NULL,9854
149,2020-06-26,NULL,9853
150,2020-06-19,NULL,9863
151,2020-06-19,NULL,9862
152,2020-06-30,NULL,9880
153,2020-06-30,NULL,9879
154,2020-06-30,NULL,9940
155,2020-06-30,NULL,9939
156,2020-06-30,NULL,9983
157,2020-06-30,NULL,9982
158,2020-06-30,NULL,10053
159,2020-06-30,NULL,10052
160,2020-06-30,NULL,10083
161,2020-06-30,NULL,10109
162,2020-06-30,NULL,10117
163,2020-06-30,NULL,10116
164,2020-06-19,NULL,10144
165,2020-06-19,NULL,10143
166,2020-06-30,NULL,10299
167,2020-06-30,NULL,10298
168,2020-06-30,NULL,10304
169,2020-06-30,NULL,10303
170,2020-06-26,NULL,10311
171,2020-06-26,NULL,10310
172,2020-06-30,NULL,10401
173,2020-06-30,NULL,10413
174,2020-06-30,NULL,10412
