clics_db_id,dependent_id,product_id,group_policy_cluster_product_id,coverage_amount,effective_date
1,1,24,1,0.00,2019-03-01
2,1,25,2,0.00,2019-03-01
3,1,26,4,0.00,2019-03-01
4,1,27,3,0.00,2019-03-01
5,2,24,1,0.00,2019-03-01
6,2,25,2,0.00,2019-03-01
7,2,26,4,0.00,2019-03-01
8,2,27,3,0.00,2019-03-01
9,3,24,1,0.00,2019-03-01
10,3,25,2,0.00,2019-03-01
11,3,26,4,0.00,2019-03-01
12,3,27,3,0.00,2019-03-01
13,4,24,1,0.00,2019-03-01
14,4,25,2,0.00,2019-03-01
15,4,26,4,0.00,2019-03-01
16,4,27,3,0.00,2019-03-01
17,5,24,1,0.00,2019-03-01
18,5,25,2,0.00,2019-03-01
19,5,26,4,0.00,2019-03-01
20,5,27,3,0.00,2019-03-01
21,6,24,1,0.00,2019-10-04
22,6,25,2,0.00,2019-10-04
23,6,26,4,0.00,2019-10-04
24,6,27,3,0.00,2019-10-04
25,7,24,1,0.00,2019-03-01
26,7,25,2,0.00,2019-03-01
27,7,26,4,0.00,2019-03-01
28,7,27,3,0.00,2019-03-01
29,8,24,1,0.00,2019-03-01
30,8,25,2,0.00,2019-03-01
31,8,26,4,0.00,2019-03-01
32,8,27,3,0.00,2019-03-01
33,9,24,1,0.00,2019-03-01
34,9,25,2,0.00,2019-03-01
35,9,26,4,0.00,2019-03-01
36,9,27,3,0.00,2019-03-01
37,10,24,1,0.00,2019-03-01
38,10,25,2,0.00,2019-03-01
39,10,26,4,0.00,2019-03-01
40,10,27,3,0.00,2019-03-01
41,11,24,1,0.00,2019-03-01
42,11,25,2,0.00,2019-03-01
43,11,26,4,0.00,2019-03-01
44,11,27,3,0.00,2019-03-01
45,12,24,1,0.00,2019-03-01
46,12,25,2,0.00,2019-03-01
47,12,26,4,0.00,2019-03-01
48,12,27,3,0.00,2019-03-01
49,13,24,1,0.00,2019-03-01
50,13,25,2,0.00,2019-03-01
51,13,26,4,0.00,2019-03-01
52,13,27,3,0.00,2019-03-01
53,14,24,1,0.00,2019-03-01
54,14,25,2,0.00,2019-03-01
55,14,26,4,0.00,2019-03-01
56,14,27,3,0.00,2019-03-01
57,15,24,1,0.00,2019-03-01
58,15,25,2,0.00,2019-03-01
59,15,26,4,0.00,2019-03-01
60,15,27,3,0.00,2019-03-01
61,16,24,1,0.00,2019-03-01
62,16,25,2,0.00,2019-03-01
63,16,26,4,0.00,2019-03-01
64,16,27,3,0.00,2019-03-01
65,17,24,1,0.00,2019-10-29
66,17,25,2,0.00,2019-10-29
67,17,26,4,0.00,2019-10-29
68,17,27,3,0.00,2019-10-29
69,18,24,1,0.00,2019-03-01
70,18,25,2,0.00,2019-03-01
71,18,26,4,0.00,2019-03-01
72,18,27,3,0.00,2019-03-01
73,19,24,1,0.00,2019-03-01
74,19,25,2,0.00,2019-03-01
75,19,26,4,0.00,2019-03-01
76,19,27,3,0.00,2019-03-01
77,20,24,1,0.00,2019-03-01
78,20,25,2,0.00,2019-03-01
79,20,26,4,0.00,2019-03-01
80,20,27,3,0.00,2019-03-01
81,21,24,1,0.00,2019-03-01
82,21,25,2,0.00,2019-03-01
83,21,26,4,0.00,2019-03-01
84,21,27,3,0.00,2019-03-01
85,22,24,1,0.00,2019-03-01
86,22,25,2,0.00,2019-03-01
87,22,26,4,0.00,2019-03-01
88,22,27,3,0.00,2019-03-01
89,23,24,1,0.00,2019-03-01
90,23,25,2,0.00,2019-03-01
91,23,26,4,0.00,2019-03-01
92,23,27,3,0.00,2019-03-01
93,24,24,1,0.00,2019-03-01
94,24,25,2,0.00,2019-03-01
95,24,26,4,0.00,2019-03-01
96,24,27,3,0.00,2019-03-01
97,25,24,1,0.00,2019-03-01
98,25,25,2,0.00,2019-03-01
99,25,26,4,0.00,2019-03-01
100,25,27,3,0.00,2019-03-01
101,26,24,1,0.00,2019-03-01
102,26,25,2,0.00,2019-03-01
103,26,26,4,0.00,2019-03-01
104,26,27,3,0.00,2019-03-01
105,27,24,1,0.00,2019-03-01
106,27,25,2,0.00,2019-03-01
107,27,26,4,0.00,2019-03-01
108,27,27,3,0.00,2019-03-01
109,28,24,1,0.00,2019-03-01
110,28,25,2,0.00,2019-03-01
111,28,26,4,0.00,2019-03-01
112,28,27,3,0.00,2019-03-01
113,29,24,1,0.00,2019-03-01
114,29,25,2,0.00,2019-03-01
115,29,26,4,0.00,2019-03-01
116,29,27,3,0.00,2019-03-01
117,30,24,1,0.00,2019-03-01
118,30,25,2,0.00,2019-03-01
119,30,26,4,0.00,2019-03-01
120,30,27,3,0.00,2019-03-01
121,31,24,1,0.00,2019-03-01
122,31,25,2,0.00,2019-03-01
123,31,26,4,0.00,2019-03-01
