clics_db_id,start_date,end_date,parent_id
0,2019-12-01,2019-12-31,27217
1,2020-06-25,2020-06-25,45177
2,2020-06-25,2020-06-25,45178
3,2020-04-01,NULL,48997
4,2021-01-01,NULL,65776
5,2021-08-16,NULL,121908
6,2021-07-10,NULL,121918
7,2020-07-01,NULL,65633
8,2020-07-01,NULL,65632
9,2020-07-01,NULL,65630
10,2020-07-01,NULL,65631
11,2021-11-14,2021-11-14,124769
12,2021-03-01,NULL,63944
13,2021-03-01,NULL,63945
14,2022-03-01,NULL,136575
15,2019-12-17,NULL,66581
16,2022-01-01,NULL,139986
17,2022-01-01,NULL,139987
19,2021-07-01,NULL,143561
20,2021-01-01,NULL,80559
21,2022-03-13,NULL,122688
22,2014-01-01,2014-01-02,135444
23,2022-01-01,NULL,135446
24,2022-01-01,NULL,135447
25,2022-01-01,NULL,135444
26,2022-01-01,NULL,135445
27,2022-07-01,NULL,54238
28,2022-07-01,NULL,54239
29,2021-10-13,NULL,121723
30,2022-09-21,NULL,145616
31,2022-09-21,NULL,145617
32,2022-01-01,2022-12-31,131631
33,2022-01-01,2022-12-31,131630
34,2022-01-01,2022-12-31,131629
35,2018-04-15,NULL,143168
36,2018-04-15,NULL,141740
37,2018-04-15,NULL,141739
38,2022-01-01,2022-12-31,129145
39,2022-12-31,NULL,22863
40,2022-12-31,NULL,22864
41,2022-12-31,NULL,67812
42,2022-11-17,NULL,163983
43,2023-03-02,NULL,65935
44,2023-03-02,NULL,65936
47,2022-04-19,NULL,92233
48,2023-03-02,NULL,92234
49,2023-03-02,NULL,92245
50,2023-03-06,NULL,92215
51,2023-01-01,NULL,169816
52,2023-01-01,NULL,169817
53,2023-01-01,NULL,169818
54,2023-01-01,NULL,169819
55,2023-01-01,NULL,169826
56,2023-01-01,NULL,169827
57,2023-01-01,NULL,169828
58,2023-01-01,NULL,169829
59,2023-01-01,NULL,169830
60,2023-01-01,NULL,169831
61,2023-01-01,NULL,169832
62,2023-03-01,NULL,172659
63,2023-03-01,NULL,172671
64,2022-01-01,NULL,139571
65,2023-01-20,NULL,172269
66,2023-01-20,NULL,172270
67,2023-01-20,NULL,172271
68,2022-01-01,2022-12-31,177130
69,2023-01-01,NULL,180166
70,2023-10-01,NULL,211392
