clics_db_id,start_date,end_date,parent_id
2,2020-03-01,NULL,5900
5,2019-02-01,2019-02-28,5842
8,2020-02-01,NULL,5901
9,2020-02-21,NULL,5868
10,2020-02-27,NULL,6524
11,2020-01-22,NULL,6610
12,2020-03-05,NULL,6618
30,2020-03-01,2021-02-28,8972
36,2020-03-15,2021-02-28,8978
44,2020-03-01,2021-02-28,8986
85,2020-01-01,2019-12-31,464
86,2020-01-01,2019-12-31,130
87,2019-12-01,NULL,7961
88,2019-12-01,NULL,7960
89,2019-12-01,NULL,7946
90,2020-01-01,2019-12-31,160
91,2020-03-19,NULL,6925
92,2020-04-01,NULL,7086
93,2020-04-01,NULL,6756
94,2020-04-01,NULL,6724
95,2020-04-01,NULL,6686
96,2020-04-03,NULL,7076
97,2020-04-03,NULL,7023
98,2020-05-30,NULL,7184
99,2020-05-30,NULL,7248
100,2020-05-30,NULL,7070
101,2020-05-30,NULL,6849
102,2020-05-29,NULL,8367
103,2020-06-01,NULL,8369
104,2020-05-08,NULL,8358
105,2020-04-17,NULL,8682
106,2020-05-15,NULL,8670
107,2020-05-15,NULL,8671
108,2020-05-15,NULL,8680
133,2020-06-30,NULL,7110
134,2020-06-30,NULL,7112
135,2020-06-30,NULL,7115
136,2020-06-30,NULL,6985
137,2020-06-30,NULL,7114
138,2020-06-30,NULL,6972
139,2020-06-30,NULL,7002
140,2020-06-30,NULL,7196
141,2020-06-30,NULL,6771
142,2020-06-30,NULL,7127
143,2020-06-30,NULL,7243
144,2020-06-30,NULL,7255
145,2020-06-30,NULL,6677
146,2020-06-30,NULL,6678
147,2020-06-30,NULL,6695
148,2020-06-30,NULL,6773
149,2020-06-30,NULL,6844
150,2020-06-30,NULL,6843
151,2020-06-30,NULL,6815
152,2020-06-30,NULL,6762
153,2020-06-30,NULL,6883
154,2020-06-30,NULL,6954
155,2020-06-30,NULL,7235
156,2020-06-30,NULL,6887
157,2020-06-30,NULL,7080
158,2020-06-30,NULL,6894
159,2020-06-30,NULL,6899
160,2020-06-30,NULL,7046
161,2020-06-30,NULL,7143
162,2020-06-30,NULL,7154
163,2020-06-30,NULL,6710
164,2020-06-30,NULL,7093
165,2020-06-30,NULL,7152
166,2020-06-30,NULL,7245
167,2020-06-30,NULL,6688
168,2020-06-30,NULL,6833
169,2020-06-30,NULL,6846
170,2020-06-30,NULL,7071
171,2020-06-30,NULL,7085
172,2020-06-30,NULL,7037
173,2020-06-30,NULL,6950
174,2020-06-30,NULL,7044
175,2020-06-30,NULL,6726
176,2020-06-30,NULL,6751
177,2020-06-30,NULL,7234
178,2020-04-30,NULL,5815
179,2020-04-20,NULL,5809
180,2020-02-27,NULL,5813
181,2020-06-01,NULL,8745
182,2020-06-26,NULL,6680
183,2020-06-19,NULL,6683
184,2020-02-21,NULL,6716
185,2020-02-13,NULL,6741
186,2020-02-05,NULL,6742
187,2020-06-19,NULL,6784
188,2020-06-26,NULL,6840
189,2020-06-26,NULL,6848
190,2020-06-26,NULL,6917
191,2020-02-29,NULL,6923
192,2020-06-19,NULL,6926
193,2020-06-26,NULL,6932
194,2020-06-26,NULL,6977
195,2020-03-14,NULL,6987
196,2020-02-15,NULL,6999
197,2020-06-19,NULL,7021
198,2020-06-19,NULL,7039
199,2020-06-19,NULL,7049
200,2020-06-26,NULL,7053
201,2020-06-26,NULL,7058
202,2020-06-26,NULL,7059
203,2020-01-18,NULL,7060
204,2020-06-19,NULL,7069
205,2020-06-26,NULL,7084
206,2020-06-26,NULL,7087
207,2020-01-10,NULL,7096
208,2020-02-13,NULL,7109
209,2020-02-11,NULL,7129
210,2020-06-26,NULL,7134
211,2020-02-08,NULL,7155
212,2020-06-26,NULL,7161
213,2020-02-01,NULL,7175
214,2020-01-16,NULL,7186
215,2020-06-26,NULL,7197
216,2020-06-26,NULL,7211
217,2020-06-22,NULL,7229
218,2020-02-15,NULL,7232
219,2020-06-26,NULL,7253
220,2020-03-21,NULL,7287
221,2020-07-07,NULL,7318
222,2020-04-01,NULL,7319
223,2020-05-13,NULL,7354
224,2020-05-15,NULL,7359
225,2020-02-19,NULL,7374
226,2020-07-10,NULL,6689
227,2020-07-10,NULL,6893
228,2020-07-10,NULL,6823
229,2020-07-10,NULL,7137
231,2020-07-10,NULL,7146
232,2020-07-24,NULL,7075
233,2020-07-24,NULL,7200
234,2020-07-24,NULL,7009
235,2020-07-24,NULL,6918
236,2020-07-24,NULL,7089
238,2020-07-31,NULL,6692
241,2020-07-31,NULL,6962
242,2020-07-31,NULL,6924
243,2020-07-31,NULL,6936
244,2020-04-30,NULL,16
245,2020-03-12,NULL,32
246,2020-03-25,NULL,2173
247,2020-04-01,NULL,126
248,2020-03-11,NULL,359
249,2020-03-10,NULL,369
250,2020-05-08,NULL,633
251,2020-05-08,NULL,667
252,2020-03-23,NULL,931
253,2020-04-08,NULL,935
254,2020-03-12,NULL,957
255,2020-03-24,NULL,1010
256,2020-06-08,NULL,1016
257,2020-03-02,NULL,1094
258,2020-05-09,NULL,1120
259,2020-07-30,NULL,1238
260,2020-04-01,NULL,1253
261,2020-03-08,NULL,1267
262,2020-03-08,NULL,1268
263,2020-03-06,NULL,1364
264,2020-05-08,NULL,1570
265,2020-05-28,NULL,1783
266,2020-01-20,NULL,1817
267,2020-05-27,NULL,1927
268,2020-01-23,NULL,1955
269,2020-04-05,NULL,1973
270,2020-04-16,NULL,2028
271,2020-04-08,NULL,2036
272,2020-03-01,NULL,2168
273,2020-03-01,NULL,2170
274,2020-03-01,NULL,2175
275,2020-04-01,NULL,2203
276,2020-04-30,NULL,2216
277,2020-04-02,NULL,2304
278,2020-03-09,NULL,2382
279,2020-03-01,NULL,2402
280,2020-04-05,NULL,2413
281,2020-03-31,NULL,2417
282,2020-03-23,NULL,2420
283,2020-03-03,NULL,2446
284,2020-03-05,NULL,2067
285,2020-03-05,NULL,2068
286,2020-03-05,NULL,2073
287,2020-03-05,NULL,2075
288,2020-03-05,NULL,2076
289,2020-03-01,NULL,2155
290,2020-03-01,NULL,2165
291,2020-04-30,NULL,8972
292,2020-04-05,NULL,8978
293,2020-03-25,NULL,8986
294,2020-03-01,2021-06-30,1857
295,2020-01-01,NULL,128
296,2020-01-01,NULL,129
297,2020-01-01,NULL,130
298,2020-01-01,NULL,131
299,2020-01-01,NULL,132
300,2020-01-01,NULL,133
301,2020-01-01,NULL,134
302,2020-01-01,NULL,135
303,2020-01-01,NULL,145
304,2020-01-01,NULL,146
305,2020-01-01,NULL,149
306,2020-01-01,NULL,155
307,2020-01-01,NULL,156
308,2020-01-01,NULL,157
309,2020-01-01,NULL,159
310,2020-01-01,NULL,160
311,2020-01-01,NULL,165
312,2020-01-01,NULL,168
313,2020-01-01,NULL,184
314,2020-01-01,NULL,192
315,2020-01-01,NULL,195
316,2020-01-01,NULL,196
317,2020-01-01,NULL,199
318,2020-01-01,NULL,203
319,2020-01-01,NULL,257
320,2020-01-01,NULL,456
321,2020-01-01,NULL,457
322,2020-01-01,NULL,458
323,2020-01-01,NULL,459
324,2020-01-01,NULL,460
325,2020-01-01,NULL,461
326,2020-01-01,NULL,464
327,2020-01-01,NULL,472
328,2020-01-01,NULL,517
329,2020-01-01,NULL,531
330,2020-01-01,NULL,540
331,2020-01-01,NULL,544
332,2020-01-01,NULL,545
333,2020-01-01,NULL,551
334,2020-01-01,NULL,592
335,2020-01-01,NULL,626
336,2020-01-01,NULL,638
337,2020-01-01,NULL,679
338,2020-01-01,NULL,716
339,2020-01-01,NULL,717
340,2020-01-01,NULL,755
341,2020-01-01,NULL,882
342,2020-01-01,NULL,1845
343,2019-10-01,2020-07-28,105
345,2020-02-29,NULL,19
346,2019-12-31,NULL,34
347,2020-02-29,NULL,37
348,2019-12-31,NULL,38
349,2019-10-16,NULL,43
350,2020-01-31,NULL,57
351,2020-01-31,NULL,94
352,2020-02-26,NULL,108
353,2020-01-30,NULL,111
354,2019-12-31,NULL,127
355,2020-01-31,NULL,200
356,2020-01-20,NULL,234
357,2019-08-25,NULL,452
358,2019-11-28,NULL,488
359,2020-02-28,NULL,491
360,2020-01-09,NULL,534
361,2019-08-04,NULL,550
362,2019-10-31,NULL,553
363,2019-12-29,NULL,559
364,2019-04-30,NULL,594
365,2020-02-25,NULL,612
366,2019-07-25,NULL,642
367,2020-01-22,NULL,658
368,2019-07-14,NULL,661
369,2020-02-29,NULL,683
370,2019-11-30,NULL,684
371,2019-09-26,NULL,699
372,2019-11-30,NULL,707
373,2019-11-27,NULL,711
374,2020-01-23,NULL,714
375,2019-08-01,NULL,740
376,2019-12-18,NULL,770
377,2019-11-21,NULL,776
378,2020-02-03,NULL,795
379,2020-02-29,NULL,799
380,2019-07-29,NULL,801
381,2019-10-01,NULL,804
382,2019-11-20,NULL,805
383,2020-02-12,NULL,812
384,2019-12-16,NULL,814
385,2019-08-10,NULL,827
386,2019-10-05,NULL,865
387,2020-02-01,NULL,916
388,2019-11-20,NULL,930
389,2020-02-11,NULL,937
390,2019-09-07,NULL,946
391,2020-02-29,NULL,958
392,2019-12-31,NULL,979
393,2020-02-01,NULL,993
394,2019-10-25,NULL,1001
395,2019-11-27,NULL,1005
396,2019-09-26,NULL,1033
397,2019-10-25,NULL,1034
398,2019-10-23,NULL,1045
399,2019-07-31,NULL,1064
400,2020-01-30,NULL,1080
401,2019-07-31,NULL,1101
402,2019-07-31,NULL,1139
403,2019-05-22,NULL,1148
404,2019-10-03,NULL,1152
405,2019-11-19,NULL,1154
406,2019-10-08,NULL,1164
407,2019-07-31,NULL,1214
408,2019-10-30,NULL,1231
409,2019-07-31,NULL,1232
410,2019-06-25,NULL,1240
411,2019-07-31,NULL,1241
412,2019-05-30,NULL,1242
413,2019-07-31,NULL,1243
414,2019-11-19,NULL,1248
415,2019-07-03,NULL,1255
416,2019-07-25,NULL,1263
417,2019-10-26,NULL,1273
418,2019-07-31,NULL,1281
419,2019-06-19,NULL,1290
420,2019-12-26,NULL,1292
421,2020-02-12,NULL,1331
422,2020-02-15,NULL,1335
423,2019-07-31,NULL,1357
424,2019-07-18,NULL,1358
425,2019-07-31,NULL,1371
426,2020-02-20,NULL,1374
427,2019-07-31,NULL,1376
428,2019-07-31,NULL,1393
429,2019-08-21,NULL,1406
430,2019-10-03,NULL,1410
431,2020-01-30,NULL,1415
432,2019-12-15,NULL,1418
433,2019-10-01,NULL,1420
434,2019-10-26,NULL,1425
435,2019-06-30,NULL,1444
436,2020-02-29,NULL,1465
437,2019-12-15,NULL,1480
438,2019-07-31,NULL,1487
439,2019-12-31,NULL,1495
440,2019-07-31,NULL,1501
441,2019-07-31,NULL,1503
442,2019-12-18,NULL,1505
443,2019-12-18,NULL,1515
444,2019-07-31,NULL,1516
445,2019-05-01,NULL,1563
446,2019-11-30,NULL,2475
447,2019-07-31,NULL,1600
448,2020-02-27,NULL,1620
449,2019-09-30,NULL,1632
450,2019-07-28,NULL,1644
451,2019-12-31,NULL,1646
452,2019-07-12,NULL,1654
453,2019-06-29,NULL,1660
454,2019-11-03,NULL,1665
455,2019-10-31,NULL,1680
456,2020-02-29,NULL,1681
457,2020-02-29,NULL,1682
458,2019-08-01,NULL,1692
459,2019-09-21,NULL,1696
460,2019-10-31,NULL,1698
461,2020-01-23,NULL,1699
462,2019-09-29,NULL,1711
463,2019-10-31,NULL,1726
464,2020-01-23,NULL,1736
465,2020-02-09,NULL,1750
466,2019-12-31,NULL,1752
467,2019-11-12,NULL,1755
468,2019-11-16,NULL,1761
469,2019-11-04,NULL,1765
470,2019-09-25,NULL,1788
471,2019-11-30,NULL,1789
472,2019-09-11,NULL,1796
473,2019-06-20,NULL,1799
474,2019-07-27,NULL,1801
475,2019-11-26,NULL,1809
476,2019-10-26,NULL,1823
477,2020-02-22,NULL,1824
478,2019-10-17,NULL,1830
479,2019-07-31,NULL,1844
480,2019-07-31,NULL,1852
481,2019-11-01,NULL,1858
482,2020-02-29,NULL,1859
483,2019-10-24,NULL,1862
484,2019-10-24,NULL,1868
485,2019-07-18,NULL,1871
486,2019-12-19,NULL,1883
487,2020-01-31,NULL,1908
488,2019-10-01,NULL,1911
