clics_db_id,group_number,premium_payment_type,group_policy_type,category,group_type,effective_date
1,60691,Semi-Annually,Group,MultiNational,Standard,2019-03-01
2,test101,Annually,Group,MultiNational,SME,2019-01-01
3,36853,Annually,Group,MultiNational,SME,1994-11-01
4,38333,Annually,Group,MultiNational,Standard,2020-01-01
5,42822,Annually,Group,MultiNational,SME,2020-01-01
6,60025,Annually,Group,MultiNational,SME,2019-04-01
7,46962,Annually,Group,MultiNational,SME,2009-08-04
8,60522,Annually,Group,MultiNational,SME,2019-12-17
9,50896,Annually,Group,MultiNational,SME,2013-12-22
10,60790,Semi-Annually,Group,MultiNational,SME,2019-11-24
11,50375,Annually,Group,MultiNational,SME,2013-01-01
12,50398,Annually,Group,MultiNational,SME,2020-01-01
13,47939,Annually,Group,MultiNational,SME,2012-12-01
14,46824,Annually,Group,MultiNational,SME,2019-10-01
15,60765,Annually,Group,MultiNational,SME,2019-10-01
16,60552,Annually,Group,MultiNational,SME,2018-02-01
17,60011,Annually,Group,MultiNational,SME,2020-01-21
18,60382,Annually,Group,MultiNational,SME,2020-01-01
19,60616,Annually,Group,MultiNational,SME,2018-08-13
20,38358,Annually,Group,MultiNational,SME,2020-01-01
21,60591,Annually,Group,MultiNational,SME,2018-07-01
22,60565,Annually,Group,Local,Standard,2018-03-21
23,46807,Annually,Group,MultiNational,Standard,2019-09-01
24,50871,Annually,Group,MultiNational,SME,2019-10-22
25,60803,Annually,Group,MultiNational,SME,2020-01-01
26,60460,Annually,Group,MultiNational,SME,2017-06-17
27,60806,Annually,Group,MultiNational,SME,2020-01-01
28,60266,Annually,Group,MultiNational,SME,2016-01-14
29,60804,Annually,Group,MultiNational,SME,2020-01-01
30,60461,Annually,Group,MultiNational,SME,2019-06-01
31,41417,Annually,Group,MultiNational,SME,2020-01-01
32,40043,Annually,Group,MultiNational,SME,2020-01-01
33,60674,Annually,Group,MultiNational,SME,2019-01-15
34,60512,Annually,Group,MultiNational,SME,2017-11-21
35,60723,Annually,Group,MultiNational,SME,2019-05-29
36,60720,Annually,Group,MultiNational,SME,2019-05-26
37,50843,Annually,Group,MultiNational,SME,2013-07-01
38,60264,Annually,Group,MultiNational,SME,2020-01-12
39,60728,Annually,Group,MultiNational,SME,2019-06-01
40,60643,Annually,Group,MultiNational,SME,2018-11-01
41,50866,Annually,Group,MultiNational,SME,2019-09-24
42,60785,Annually,Group,MultiNational,SME,2019-11-19
43,60464,Annually,Group,MultiNational,SME,2019-07-19
44,60600,Semi-Annually,Group,MultiNational,SME,2018-07-17
45,60101,Annually,Group,MultiNational,SME,2019-11-13
46,60792,Annually,Group,MultiNational,SME,2019-11-26
47,60089,Annually,Group,MultiNational,Standard,2014-10-19
48,60747,Annually,Group,MultiNational,SME,2019-08-01
49,47561,Annually,Group,MultiNational,SME,2010-07-06
50,47595,Annually,Group,MultiNational,SME,2010-10-24
51,50867,Annually,Group,MultiNational,SME,2019-08-15
52,60741,Annually,Group,MultiNational,SME,2019-07-18
53,60813,Annually,Group,MultiNational,SME,2020-02-01
54,40242,Annually,Group,MultiNational,SME,2020-02-01
55,60793,Annually,Group,MultiNational,SME,2019-12-02
56,60068,Annually,Group,MultiNational,SME,2014-07-21
57,60111,Annually,Group,MultiNational,SME,2019-12-15
58,60151,Annually,Group,MultiNational,SME,2020-03-05
59,60811,Annually,Group,MultiNational,SME,2020-01-01
60,60156,Annually,Group,MultiNational,SME,2015-03-12
61,60152,Annually,Group,MultiNational,SME,2015-03-01
62,60722,Annually,Group,MultiNational,SME,2019-05-27
63,60812,Annually,Group,MultiNational,SME,2020-01-01
64,60171,Annually,Group,MultiNational,SME,2020-04-01
65,60859,Annually,Group,MultiNational,SME,2020-06-01
66,60450,Annually,Group,MultiNational,SME,2020-04-01
67,60416,Annually,Group,MultiNational,SME,2020-03-02
68,60838,Annually,Group,MultiNational,SME,2020-04-23
69,47549,Annually,Group,MultiNational,SME,2020-06-03
70,60870,Annually,Group,MultiNational,SME,2020-07-19
71,60830,Annually,Group,MultiNational,SME,2020-03-04
72,60845,Annually,Group,MultiNational,SME,2020-04-08
73,60469,Annually,Group,MultiNational,SME,2017-08-06
74,60853,Annually,Group,MultiNational,SME,2020-06-01
75,47850,Annually,Group,MultiNational,SME,2020-07-01
76,60851,Annually,Group,MultiNational,SME,2020-06-02
77,60852,Annually,Group,MultiNational,SME,2020-06-02
78,60730,Annually,Group,MultiNational,SME,2019-06-26
79,60872,Annually,Group,MultiNational,SME,2020-07-01
80,60848,Annually,Group,MultiNational,SME,2020-05-01
