clics_db_id,group_policy_id,effective_date
1,1,2019-03-01
2,1,2019-03-01
3,2,2019-01-01
4,3,2020-01-01
5,4,1999-08-18
6,5,2006-01-01
7,6,2020-04-01
8,5,2006-01-01
9,5,2020-01-01
10,6,2020-04-01
11,7,2019-10-01
12,8,2019-12-17
13,8,2019-12-17
14,8,2019-12-17
15,9,2019-12-22
16,10,2019-11-24
17,11,2020-01-01
18,12,2020-01-01
19,13,2019-12-01
20,14,2019-10-01
21,15,2019-10-01
22,16,2000-02-01
23,17,2020-01-21
24,18,2020-01-01
25,19,2019-08-13
26,19,2019-08-13
27,20,2020-01-01
28,21,2019-07-01
29,22,2020-01-20
30,22,2020-01-20
31,22,2020-01-20
32,23,2019-09-01
33,24,2019-10-22
34,25,2020-01-01
35,26,2020-01-01
36,27,2020-01-01
37,27,2020-01-01
38,28,2020-01-14
39,28,2020-01-14
40,29,2020-01-01
41,29,2020-01-01
42,30,2019-06-01
43,31,2020-01-01
44,32,2020-01-01
45,33,2020-01-15
46,34,2019-11-21
47,35,2019-05-29
48,36,2019-05-26
49,37,2019-07-01
50,38,2020-01-12
51,39,2019-06-01
52,40,2019-11-01
53,39,2019-06-01
54,41,2019-09-24
55,44,2019-07-17
56,43,2019-07-19
57,41,2019-09-24
58,41,2019-09-24
59,42,2019-11-19
60,45,2019-11-13
61,46,2019-11-26
62,47,2019-10-20
63,48,2019-08-01
64,49,2019-07-06
65,50,2020-01-01
66,51,2019-08-15
67,52,2019-07-18
68,53,2020-02-01
69,53,2020-02-01
70,54,2020-02-01
71,55,2019-12-02
72,56,2020-01-21
73,2,2019-01-01
74,57,2019-12-15
75,58,2020-03-05
76,59,2020-01-01
77,60,2020-03-12
78,61,2015-03-01
79,62,2019-05-27
80,63,2020-01-01
81,64,2020-04-01
82,2,2020-01-01
83,2,2020-01-01
84,65,2020-06-01
85,65,2020-06-01
86,2,2019-01-01
87,66,2020-04-01
88,67,2020-03-02
89,68,2020-04-23
90,34,2020-06-01
91,69,2020-06-03
92,69,2020-06-03
93,8,2020-06-05
94,8,2020-06-05
95,8,2020-06-05
96,70,2020-07-19
97,71,2020-03-04
98,72,2020-04-08
99,73,2020-03-01
100,74,2020-06-01
101,75,2020-07-01
102,75,2020-07-01
103,75,2020-07-01
104,75,2020-07-01
105,75,2020-07-01
106,75,2020-07-01
107,76,2020-06-02
108,77,2020-06-02
109,2,2019-01-01
110,78,2019-06-26
111,79,2020-07-01
112,79,2020-07-01
113,79,2020-07-01
114,80,2020-05-01
115,81,2020-07-29
116,82,2020-09-01
117,83,2017-03-09
118,84,2020-03-15
119,85,2020-02-01
120,86,2019-09-17
121,87,2020-01-01
122,87,2020-01-01
123,88,2020-08-06
124,89,2020-07-30
125,90,2020-09-01
126,90,2020-09-01
127,91,2020-08-01
128,92,2020-06-01
129,92,2020-06-01
130,92,2020-06-01
131,93,2019-09-22
132,94,2019-10-01
133,95,2020-05-01
134,96,2020-03-15
135,98,2020-03-09
136,2,2019-01-01
137,97,2019-01-01
138,99,2020-09-19
139,99,2020-09-19
140,99,2020-09-19
141,99,2020-09-19
142,90,2020-09-01
143,100,2020-03-03
144,101,2020-03-24
145,102,2020-03-07
146,103,2020-10-02
147,104,2020-10-06
148,105,2020-07-01
149,106,2020-09-18
150,107,2020-02-16
151,108,2020-07-01
152,109,2020-06-01
153,110,2020-01-01
154,111,2020-03-08
155,111,2020-03-08
156,112,2020-11-03
157,113,2020-07-12
158,113,2020-07-12
159,114,2020-03-11
160,115,2020-08-25
161,116,2020-04-18
162,117,2020-08-05
163,117,2020-08-05
164,117,2020-08-05
165,118,2020-11-07
166,118,2020-11-07
167,118,2020-11-07
168,119,2020-10-01
169,120,2020-01-01
170,120,2020-01-01
171,120,2020-01-01
172,120,2020-01-01
173,119,2020-10-01
174,121,2019-11-01
175,122,2020-01-26
176,123,2020-02-27
177,124,2020-06-27
178,125,2020-11-01
179,126,2020-02-25
180,127,2020-06-01
181,128,2020-10-25
182,129,2020-07-05
183,130,2020-11-25
184,131,2020-10-13
185,132,2019-11-30
186,132,2019-11-30
187,133,2020-12-04
188,134,2020-01-20
189,135,2019-10-03
190,136,2020-10-06
191,136,2020-10-06
192,137,2021-01-01
193,138,2020-01-29
194,139,2020-12-04
195,140,2020-10-07
196,141,2020-10-04
197,142,2020-07-23
198,143,2020-03-24
199,143,2020-03-24
200,144,2020-11-26
201,145,2020-07-01
202,146,2020-12-01
203,146,2020-12-01
204,147,2020-09-07
205,148,2020-07-19
206,149,2020-06-25
207,150,2021-01-01
208,150,2021-01-01
209,151,2020-09-04
210,151,2020-09-04
211,152,2020-07-01
212,152,2020-07-01
213,153,2020-10-11
214,154,2020-09-13
215,155,2020-02-03
216,156,2016-02-03
217,156,2016-02-03
218,156,2016-02-03
219,157,2021-01-01
220,158,2021-01-01
221,159,2021-02-03
222,160,2020-02-14
223,160,2020-02-14
224,160,2020-02-14
225,161,2020-09-01
