clics_db_id,start_date,end_date,parent_id
0,2020-06-05,NULL,31
1,2019-03-01,2020-02-29,248
3,2021-01-26,NULL,429
4,2021-07-01,NULL,1057
5,2021-10-04,NULL,470
6,2022-02-01,NULL,572
7,2022-04-21,NULL,805
12,2021-10-10,NULL,1068
13,2022-02-16,NULL,1831
14,2023-01-01,NULL,2004
15,2011-04-23,NULL,1475
16,2011-04-23,NULL,1476
17,2011-04-23,NULL,1477
18,2011-04-23,NULL,1478
19,2011-04-23,NULL,1479
20,2011-04-23,NULL,1480
21,2011-04-23,NULL,1481
22,2011-04-23,NULL,1482
23,2011-04-23,NULL,1483
24,2011-04-23,NULL,1484
25,2011-04-23,NULL,1485
26,2011-04-23,NULL,1486
27,2023-01-01,NULL,2131
28,2023-01-01,NULL,2132
29,2023-01-01,NULL,2133
30,2023-01-01,NULL,2134
31,2023-01-01,NULL,2135
32,2023-02-01,NULL,1276
33,2023-01-01,NULL,1188
34,2023-01-01,NULL,1189
35,2023-03-15,NULL,618
36,2001-02-01,NULL,2717
37,2023-03-10,NULL,2827
38,2018-07-17,NULL,2647
39,2015-02-07,NULL,2047
40,2023-10-19,NULL,14020
41,2023-10-19,NULL,14021
42,2015-10-01,NULL,1997
43,2015-10-01,NULL,1998
44,2015-10-01,NULL,1999
45,2023-11-01,NULL,1792
46,2023-11-01,NULL,1795
47,2023-11-01,NULL,1798
48,2023-11-01,NULL,1783
49,2023-11-01,NULL,1786
50,2023-11-01,NULL,1789
51,2017-08-01,NULL,1926
52,2023-12-01,NULL,14872
53,2023-12-01,NULL,14752
54,2023-12-01,NULL,14873
55,2023-12-01,NULL,14871
